CVE,Risk,Host,Port,Name,Synopsis,Solution,See Also
CVE-2014-3506,High,172.16.0.125,8123,Apache Tomcat 6.0.x < 6.0.43 Multiple Vulnerabilities (POODLE),"The remote Apache Tomcat server is affected by multiple
vulnerabilities.",Update to Apache Tomcat version 6.0.43 or later.,"http://tomcat.apache.org/tomcat-6.0-doc/changelog.html
https://www.imperialviolet.org/2014/10/14/poodle.html
https://www.openssl.org/~bodo/ssl-poodle.pdf
https://tools.ietf.org/html/draft-ietf-tls-downgrade-scsv-00"
CVE-2014-3507,High,172.16.0.125,8123,Apache Tomcat 6.0.x < 6.0.43 Multiple Vulnerabilities (POODLE),"The remote Apache Tomcat server is affected by multiple
vulnerabilities.",Update to Apache Tomcat version 6.0.43 or later.,"http://tomcat.apache.org/tomcat-6.0-doc/changelog.html
https://www.imperialviolet.org/2014/10/14/poodle.html
https://www.openssl.org/~bodo/ssl-poodle.pdf
https://tools.ietf.org/html/draft-ietf-tls-downgrade-scsv-00"
CVE-2014-3508,High,172.16.0.125,8123,Apache Tomcat 6.0.x < 6.0.43 Multiple Vulnerabilities (POODLE),"The remote Apache Tomcat server is affected by multiple
vulnerabilities.",Update to Apache Tomcat version 6.0.43 or later.,"http://tomcat.apache.org/tomcat-6.0-doc/changelog.html
https://www.imperialviolet.org/2014/10/14/poodle.html
https://www.openssl.org/~bodo/ssl-poodle.pdf
https://tools.ietf.org/html/draft-ietf-tls-downgrade-scsv-00"
CVE-2014-3509,High,172.16.0.125,8123,Apache Tomcat 6.0.x < 6.0.43 Multiple Vulnerabilities (POODLE),"The remote Apache Tomcat server is affected by multiple
vulnerabilities.",Update to Apache Tomcat version 6.0.43 or later.,"http://tomcat.apache.org/tomcat-6.0-doc/changelog.html
https://www.imperialviolet.org/2014/10/14/poodle.html
https://www.openssl.org/~bodo/ssl-poodle.pdf
https://tools.ietf.org/html/draft-ietf-tls-downgrade-scsv-00"
CVE-2014-3510,High,172.16.0.125,8123,Apache Tomcat 6.0.x < 6.0.43 Multiple Vulnerabilities (POODLE),"The remote Apache Tomcat server is affected by multiple
vulnerabilities.",Update to Apache Tomcat version 6.0.43 or later.,"http://tomcat.apache.org/tomcat-6.0-doc/changelog.html
https://www.imperialviolet.org/2014/10/14/poodle.html
https://www.openssl.org/~bodo/ssl-poodle.pdf
https://tools.ietf.org/html/draft-ietf-tls-downgrade-scsv-00"
CVE-2014-3511,High,172.16.0.125,8123,Apache Tomcat 6.0.x < 6.0.43 Multiple Vulnerabilities (POODLE),"The remote Apache Tomcat server is affected by multiple
vulnerabilities.",Update to Apache Tomcat version 6.0.43 or later.,"http://tomcat.apache.org/tomcat-6.0-doc/changelog.html
https://www.imperialviolet.org/2014/10/14/poodle.html
https://www.openssl.org/~bodo/ssl-poodle.pdf
https://tools.ietf.org/html/draft-ietf-tls-downgrade-scsv-00"
CVE-2014-3512,High,172.16.0.125,8123,Apache Tomcat 6.0.x < 6.0.43 Multiple Vulnerabilities (POODLE),"The remote Apache Tomcat server is affected by multiple
vulnerabilities.",Update to Apache Tomcat version 6.0.43 or later.,"http://tomcat.apache.org/tomcat-6.0-doc/changelog.html
https://www.imperialviolet.org/2014/10/14/poodle.html
https://www.openssl.org/~bodo/ssl-poodle.pdf
https://tools.ietf.org/html/draft-ietf-tls-downgrade-scsv-00"
CVE-2014-3513,High,172.16.0.125,8123,Apache Tomcat 6.0.x < 6.0.43 Multiple Vulnerabilities (POODLE),"The remote Apache Tomcat server is affected by multiple
vulnerabilities.",Update to Apache Tomcat version 6.0.43 or later.,"http://tomcat.apache.org/tomcat-6.0-doc/changelog.html
https://www.imperialviolet.org/2014/10/14/poodle.html
https://www.openssl.org/~bodo/ssl-poodle.pdf
https://tools.ietf.org/html/draft-ietf-tls-downgrade-scsv-00"
CVE-2014-3566,High,172.16.0.125,8123,Apache Tomcat 6.0.x < 6.0.43 Multiple Vulnerabilities (POODLE),"The remote Apache Tomcat server is affected by multiple
vulnerabilities.",Update to Apache Tomcat version 6.0.43 or later.,"http://tomcat.apache.org/tomcat-6.0-doc/changelog.html
https://www.imperialviolet.org/2014/10/14/poodle.html
https://www.openssl.org/~bodo/ssl-poodle.pdf
https://tools.ietf.org/html/draft-ietf-tls-downgrade-scsv-00"
CVE-2014-3567,High,172.16.0.125,8123,Apache Tomcat 6.0.x < 6.0.43 Multiple Vulnerabilities (POODLE),"The remote Apache Tomcat server is affected by multiple
vulnerabilities.",Update to Apache Tomcat version 6.0.43 or later.,"http://tomcat.apache.org/tomcat-6.0-doc/changelog.html
https://www.imperialviolet.org/2014/10/14/poodle.html
https://www.openssl.org/~bodo/ssl-poodle.pdf
https://tools.ietf.org/html/draft-ietf-tls-downgrade-scsv-00"
CVE-2014-3568,High,172.16.0.125,8123,Apache Tomcat 6.0.x < 6.0.43 Multiple Vulnerabilities (POODLE),"The remote Apache Tomcat server is affected by multiple
vulnerabilities.",Update to Apache Tomcat version 6.0.43 or later.,"http://tomcat.apache.org/tomcat-6.0-doc/changelog.html
https://www.imperialviolet.org/2014/10/14/poodle.html
https://www.openssl.org/~bodo/ssl-poodle.pdf
https://tools.ietf.org/html/draft-ietf-tls-downgrade-scsv-00"
CVE-2014-5139,High,172.16.0.125,8123,Apache Tomcat 6.0.x < 6.0.43 Multiple Vulnerabilities (POODLE),"The remote Apache Tomcat server is affected by multiple
vulnerabilities.",Update to Apache Tomcat version 6.0.43 or later.,"http://tomcat.apache.org/tomcat-6.0-doc/changelog.html
https://www.imperialviolet.org/2014/10/14/poodle.html
https://www.openssl.org/~bodo/ssl-poodle.pdf
https://tools.ietf.org/html/draft-ietf-tls-downgrade-scsv-00"
CVE-1999-0517,High,172.16.0.133,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-1999-0517,High,172.16.0.134,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-1999-0517,High,172.16.0.135,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-1999-0517,High,172.16.0.136,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-1999-0517,High,172.16.0.143,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-1999-0517,High,172.16.0.15,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-1999-0517,High,172.16.0.155,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-2016-2183,High,172.16.0.155,443,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
CVE-2020-1745,Critical,172.16.0.155,8009,Apache Tomcat AJP Connector Request Injection (Ghostcat),There is a vulnerable AJP connector listening on the remote host.,"Update the AJP configuration to require authorization and/or upgrade the Tomcat server to 7.0.100, 8.5.51, 9.0.31 or later.","http://www.nessus.org/u?8ebe6246
http://www.nessus.org/u?4e287adb
http://www.nessus.org/u?cbc3d54e
https://access.redhat.com/security/cve/CVE-2020-1745
https://access.redhat.com/solutions/4851251
http://www.nessus.org/u?dd218234
http://www.nessus.org/u?dd772531
http://www.nessus.org/u?2a01d6bf
http://www.nessus.org/u?3b5af27e
http://www.nessus.org/u?9dab109f
http://www.nessus.org/u?5eafcf70"
CVE-2020-1938,Critical,172.16.0.155,8009,Apache Tomcat AJP Connector Request Injection (Ghostcat),There is a vulnerable AJP connector listening on the remote host.,"Update the AJP configuration to require authorization and/or upgrade the Tomcat server to 7.0.100, 8.5.51, 9.0.31 or later.","http://www.nessus.org/u?8ebe6246
http://www.nessus.org/u?4e287adb
http://www.nessus.org/u?cbc3d54e
https://access.redhat.com/security/cve/CVE-2020-1745
https://access.redhat.com/solutions/4851251
http://www.nessus.org/u?dd218234
http://www.nessus.org/u?dd772531
http://www.nessus.org/u?2a01d6bf
http://www.nessus.org/u?3b5af27e
http://www.nessus.org/u?9dab109f
http://www.nessus.org/u?5eafcf70"
CVE-2016-2183,High,172.16.0.17,1433,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
CVE-2022-27908,High,172.16.0.172,8060,ManageEngine OpManager SQLi (CVE-2022-27908),The remote web server hosts an application that is affected by an SQL injection vulnerability.,Upgrade ManageEngine OpManager according to the vendor advisory.,http://www.nessus.org/u?f42508db
CVE-1999-0517,High,172.16.0.173,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-1999-0517,High,172.16.0.174,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
,Critical,172.16.0.175,0,Unsupported Windows OS (remote),The remote OS or service pack is no longer supported.,Upgrade to a supported service pack or operating system,https://support.microsoft.com/en-us/lifecycle
,Critical,172.16.0.178,1433,SSL Version 2 and 3 Protocol Detection,"The remote service encrypts traffic using a protocol with known
weaknesses.","Consult the application's documentation to disable SSL 2.0 and 3.0.
Use TLS 1.2 (with approved cipher suites) or higher instead.","https://www.schneier.com/academic/paperfiles/paper-ssl.pdf
http://www.nessus.org/u?b06c7e95
http://www.nessus.org/u?247c4540
https://www.openssl.org/~bodo/ssl-poodle.pdf
http://www.nessus.org/u?5d15ba70
https://www.imperialviolet.org/2014/10/14/poodle.html
https://tools.ietf.org/html/rfc7507
https://tools.ietf.org/html/rfc7568"
CVE-2004-2761,High,172.16.0.178,1433,SSL Certificate Signed Using Weak Hashing Algorithm,"An SSL certificate in the certificate chain has been signed using a
weak hash algorithm.",Contact the Certificate Authority to have the SSL certificate reissued.,"https://tools.ietf.org/html/rfc3279
http://www.nessus.org/u?9bb87bf2
http://www.nessus.org/u?e120eea1
http://www.nessus.org/u?5d894816
http://www.nessus.org/u?51db68aa
http://www.nessus.org/u?9dc7bfba"
CVE-2016-2183,High,172.16.0.178,1433,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
,Critical,172.16.0.178,1433,Microsoft SQL Server Unsupported Version Detection (remote check),"An unsupported version of a database server is running on the remote
host.","Upgrade to a version of Microsoft SQL Server that is currently
supported.",http://www.nessus.org/u?d4418a57
CVE-2016-2183,High,172.16.0.186,443,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
CVE-2016-2183,High,172.16.0.188,443,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
CVE-1999-0517,High,172.16.0.190,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-2016-2183,High,172.16.0.201,443,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
,Critical,172.16.0.201,0,Unsupported Windows OS (remote),The remote OS or service pack is no longer supported.,Upgrade to a supported service pack or operating system,https://support.microsoft.com/en-us/lifecycle
,Critical,172.16.0.208,1433,SSL Version 2 and 3 Protocol Detection,"The remote service encrypts traffic using a protocol with known
weaknesses.","Consult the application's documentation to disable SSL 2.0 and 3.0.
Use TLS 1.2 (with approved cipher suites) or higher instead.","https://www.schneier.com/academic/paperfiles/paper-ssl.pdf
http://www.nessus.org/u?b06c7e95
http://www.nessus.org/u?247c4540
https://www.openssl.org/~bodo/ssl-poodle.pdf
http://www.nessus.org/u?5d15ba70
https://www.imperialviolet.org/2014/10/14/poodle.html
https://tools.ietf.org/html/rfc7507
https://tools.ietf.org/html/rfc7568"
CVE-2004-2761,High,172.16.0.208,1433,SSL Certificate Signed Using Weak Hashing Algorithm,"An SSL certificate in the certificate chain has been signed using a
weak hash algorithm.",Contact the Certificate Authority to have the SSL certificate reissued.,"https://tools.ietf.org/html/rfc3279
http://www.nessus.org/u?9bb87bf2
http://www.nessus.org/u?e120eea1
http://www.nessus.org/u?5d894816
http://www.nessus.org/u?51db68aa
http://www.nessus.org/u?9dc7bfba"
CVE-2016-2183,High,172.16.0.208,1433,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
,Critical,172.16.0.208,1433,Microsoft SQL Server Unsupported Version Detection (remote check),"An unsupported version of a database server is running on the remote
host.","Upgrade to a version of Microsoft SQL Server that is currently
supported.",http://www.nessus.org/u?d4418a57
CVE-1999-0517,High,172.16.0.21,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-2016-2183,High,172.16.0.210,5005,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
CVE-1999-0517,High,172.16.0.216,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-1999-0517,High,172.16.0.217,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-1999-0517,High,172.16.0.218,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-1999-0517,High,172.16.0.219,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-1999-0517,High,172.16.0.220,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-1999-0517,High,172.16.0.221,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-1999-0517,High,172.16.0.222,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
