CVE,Risk,Host,Port,Name,Synopsis,Solution,See Also
,Critical,,1433,Microsoft SQL Server Unsupported Version Detection (remote check),"An unsupported version of a database server is running on the remote
host.","Upgrade to a version of Microsoft SQL Server that is currently
supported.",http://www.nessus.org/u?d4418a57
,Critical,172.16.0.208,1433,SSL Version 2 and 3 Protocol Detection,"The remote service encrypts traffic using a protocol with known
weaknesses.","Consult the application's documentation to disable SSL 2.0 and 3.0.
Use TLS 1.2 (with approved cipher suites) or higher instead.","https://www.schneier.com/academic/paperfiles/paper-ssl.pdf
http://www.nessus.org/u?b06c7e95
http://www.nessus.org/u?247c4540
https://www.openssl.org/~bodo/ssl-poodle.pdf
http://www.nessus.org/u?5d15ba70
https://www.imperialviolet.org/2014/10/14/poodle.html
https://tools.ietf.org/html/rfc7507
https://tools.ietf.org/html/rfc7568"
CVE-2004-2761,High,,1433,SSL Certificate Signed Using Weak Hashing Algorithm,"An SSL certificate in the certificate chain has been signed using a
weak hash algorithm.",Contact the Certificate Authority to have the SSL certificate reissued.,"https://tools.ietf.org/html/rfc3279
http://www.nessus.org/u?9bb87bf2
http://www.nessus.org/u?e120eea1
http://www.nessus.org/u?5d894816
http://www.nessus.org/u?51db68aa
http://www.nessus.org/u?9dc7bfba"
CVE-2016-2183,High,,1433,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
,Critical,,1433,Microsoft SQL Server Unsupported Version Detection (remote check),"An unsupported version of a database server is running on the remote
host.","Upgrade to a version of Microsoft SQL Server that is currently
supported.",http://www.nessus.org/u?d4418a57
CVE-2016-2183,High,172.16.0.45,1433,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
,Critical,172.16.0.50,1521,Oracle Database Unsupported Version Detection,"The remote host is running an unsupported version of a database
server.",Upgrade to a version of Oracle Database that is currently supported.,http://www.nessus.org/u?ccd068d1
CVE-2012-1675,High,,1521,Oracle TNS Listener Remote Poisoning,It was possible to register with a remote Oracle TNS listener.,Apply the workaround in Oracle's advisory.,"http://www.nessus.org/u?8c8334e6
http://www.nessus.org/u?06d298e5
https://seclists.org/fulldisclosure/2012/Apr/204"
CVE-2020-14750,Critical,,9500,Oracle WebLogic Server RCE (CVE-2020-14882),An application server installed on the remote host is affected by a remote code execution vulnerability.,"Apply the appropriate patch according to the October 2020 Oracle Critical Patch Update advisory and the Oracle Security
Alert advisory for CVE-2020-14750.","https://www.oracle.com/a/tech/docs/cpuoct2020cvrf.xml
https://www.oracle.com/security-alerts/cpuoct2020.html
https://www.oracle.com/security-alerts/alert-cve-2020-14750.html"
CVE-2020-14882,Critical,,9500,Oracle WebLogic Server RCE (CVE-2020-14882),An application server installed on the remote host is affected by a remote code execution vulnerability.,"Apply the appropriate patch according to the October 2020 Oracle Critical Patch Update advisory and the Oracle Security
Alert advisory for CVE-2020-14750.","https://www.oracle.com/a/tech/docs/cpuoct2020cvrf.xml
https://www.oracle.com/security-alerts/cpuoct2020.html
https://www.oracle.com/security-alerts/alert-cve-2020-14750.html"
CVE-2004-2761,High,172.16.0.77,49466,SSL Certificate Signed Using Weak Hashing Algorithm,"An SSL certificate in the certificate chain has been signed using a
weak hash algorithm.",Contact the Certificate Authority to have the SSL certificate reissued.,"https://tools.ietf.org/html/rfc3279
http://www.nessus.org/u?9bb87bf2
http://www.nessus.org/u?e120eea1
http://www.nessus.org/u?5d894816
http://www.nessus.org/u?51db68aa
http://www.nessus.org/u?9dc7bfba"
CVE-2016-2183,High,,49466,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
,Critical,,49466,Microsoft SQL Server Unsupported Version Detection (remote check),"An unsupported version of a database server is running on the remote
host.","Upgrade to a version of Microsoft SQL Server that is currently
supported.",http://www.nessus.org/u?d4418a57
CVE-2016-2183,High,172.16.0.9,1433,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
,Critical,172.16.0.98,1433,SSL Version 2 and 3 Protocol Detection,"The remote service encrypts traffic using a protocol with known
weaknesses.","Consult the application's documentation to disable SSL 2.0 and 3.0.
Use TLS 1.2 (with approved cipher suites) or higher instead.","https://www.schneier.com/academic/paperfiles/paper-ssl.pdf
http://www.nessus.org/u?b06c7e95
http://www.nessus.org/u?247c4540
https://www.openssl.org/~bodo/ssl-poodle.pdf
http://www.nessus.org/u?5d15ba70
https://www.imperialviolet.org/2014/10/14/poodle.html
https://tools.ietf.org/html/rfc7507
https://tools.ietf.org/html/rfc7568"
CVE-2004-2761,High,,1433,SSL Certificate Signed Using Weak Hashing Algorithm,"An SSL certificate in the certificate chain has been signed using a
weak hash algorithm.",Contact the Certificate Authority to have the SSL certificate reissued.,"https://tools.ietf.org/html/rfc3279
http://www.nessus.org/u?9bb87bf2
http://www.nessus.org/u?e120eea1
http://www.nessus.org/u?5d894816
http://www.nessus.org/u?51db68aa
http://www.nessus.org/u?9dc7bfba"
CVE-2016-2183,High,,1433,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
,Critical,,1433,Microsoft SQL Server Unsupported Version Detection (remote check),"An unsupported version of a database server is running on the remote
host.","Upgrade to a version of Microsoft SQL Server that is currently
supported.",http://www.nessus.org/u?d4418a57
,Critical,,0,Unsupported Windows OS (remote),The remote OS or service pack is no longer supported.,Upgrade to a supported service pack or operating system,https://support.microsoft.com/en-us/lifecycle
CVE-2016-2183,High,172.16.1.108,1433,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
CVE-2004-2761,High,172.16.1.125,1433,SSL Certificate Signed Using Weak Hashing Algorithm,"An SSL certificate in the certificate chain has been signed using a
weak hash algorithm.",Contact the Certificate Authority to have the SSL certificate reissued.,"https://tools.ietf.org/html/rfc3279
http://www.nessus.org/u?9bb87bf2
http://www.nessus.org/u?e120eea1
http://www.nessus.org/u?5d894816
http://www.nessus.org/u?51db68aa
http://www.nessus.org/u?9dc7bfba"
CVE-2016-2183,High,,1433,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
CVE-1999-0517,High,172.16.1.170,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
,Critical,,1521,Oracle Database Unsupported Version Detection,"The remote host is running an unsupported version of a database
server.",Upgrade to a version of Oracle Database that is currently supported.,http://www.nessus.org/u?ccd068d1
CVE-2012-1675,High,,1521,Oracle TNS Listener Remote Poisoning,It was possible to register with a remote Oracle TNS listener.,Apply the workaround in Oracle's advisory.,"http://www.nessus.org/u?8c8334e6
http://www.nessus.org/u?06d298e5
https://seclists.org/fulldisclosure/2012/Apr/204"
CVE-2016-2183,High,172.16.1.171,1433,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
CVE-2004-0637,High,172.16.1.19,1521,Oracle Database Multiple Remote Vulnerabilities (Mar 2005),The remote database server is affected by multiple vulnerabilities.,Apply vendor-supplied patches.,http://www.nessus.org/u?e1d0c17a
CVE-2004-0638,High,,1521,Oracle Database Multiple Remote Vulnerabilities (Mar 2005),The remote database server is affected by multiple vulnerabilities.,Apply vendor-supplied patches.,http://www.nessus.org/u?e1d0c17a
CVE-2004-1362,High,,1521,Oracle Database Multiple Remote Vulnerabilities (Mar 2005),The remote database server is affected by multiple vulnerabilities.,Apply vendor-supplied patches.,http://www.nessus.org/u?e1d0c17a
CVE-2004-1363,High,,1521,Oracle Database Multiple Remote Vulnerabilities (Mar 2005),The remote database server is affected by multiple vulnerabilities.,Apply vendor-supplied patches.,http://www.nessus.org/u?e1d0c17a
CVE-2004-1364,High,,1521,Oracle Database Multiple Remote Vulnerabilities (Mar 2005),The remote database server is affected by multiple vulnerabilities.,Apply vendor-supplied patches.,http://www.nessus.org/u?e1d0c17a
CVE-2004-1365,High,,1521,Oracle Database Multiple Remote Vulnerabilities (Mar 2005),The remote database server is affected by multiple vulnerabilities.,Apply vendor-supplied patches.,http://www.nessus.org/u?e1d0c17a
CVE-2004-1366,High,,1521,Oracle Database Multiple Remote Vulnerabilities (Mar 2005),The remote database server is affected by multiple vulnerabilities.,Apply vendor-supplied patches.,http://www.nessus.org/u?e1d0c17a
CVE-2004-1367,High,,1521,Oracle Database Multiple Remote Vulnerabilities (Mar 2005),The remote database server is affected by multiple vulnerabilities.,Apply vendor-supplied patches.,http://www.nessus.org/u?e1d0c17a
CVE-2004-1368,High,,1521,Oracle Database Multiple Remote Vulnerabilities (Mar 2005),The remote database server is affected by multiple vulnerabilities.,Apply vendor-supplied patches.,http://www.nessus.org/u?e1d0c17a
CVE-2004-1369,High,,1521,Oracle Database Multiple Remote Vulnerabilities (Mar 2005),The remote database server is affected by multiple vulnerabilities.,Apply vendor-supplied patches.,http://www.nessus.org/u?e1d0c17a
CVE-2004-1370,High,,1521,Oracle Database Multiple Remote Vulnerabilities (Mar 2005),The remote database server is affected by multiple vulnerabilities.,Apply vendor-supplied patches.,http://www.nessus.org/u?e1d0c17a
CVE-2004-1371,High,,1521,Oracle Database Multiple Remote Vulnerabilities (Mar 2005),The remote database server is affected by multiple vulnerabilities.,Apply vendor-supplied patches.,http://www.nessus.org/u?e1d0c17a
CVE-1999-0519,High,,445,SMB NULL Session Authentication,It is possible to log into the remote host with a NULL session.,Please contact the product vendor for recommended solutions.,"http://www.nessus.org/u?e32d594f
http://www.nessus.org/u?9182e66b
http://www.nessus.org/u?a33fe205"
CVE-1999-0520,High,,445,SMB NULL Session Authentication,It is possible to log into the remote host with a NULL session.,Please contact the product vendor for recommended solutions.,"http://www.nessus.org/u?e32d594f
http://www.nessus.org/u?9182e66b
http://www.nessus.org/u?a33fe205"
CVE-2002-1117,High,,445,SMB NULL Session Authentication,It is possible to log into the remote host with a NULL session.,Please contact the product vendor for recommended solutions.,"http://www.nessus.org/u?e32d594f
http://www.nessus.org/u?9182e66b
http://www.nessus.org/u?a33fe205"
,Critical,,1521,Oracle Database Unsupported Version Detection,"The remote host is running an unsupported version of a database
server.",Upgrade to a version of Oracle Database that is currently supported.,http://www.nessus.org/u?ccd068d1
,Critical,,0,Microsoft Windows Server 2003 Unsupported Installation Detection,The remote operating system is no longer supported.,Upgrade to a version of Windows that is currently supported.,"http://www.nessus.org/u?76f71a39
http://www.nessus.org/u?321523eb
https://blogs.technet.microsoft.com/filecab/2016/09/16/stop-using-smb1/
http://www.nessus.org/u?8dcab5e4"
,Critical,,0,Unsupported Windows OS (remote),The remote OS or service pack is no longer supported.,Upgrade to a supported service pack or operating system,https://support.microsoft.com/en-us/lifecycle
CVE-2016-2183,High,172.16.1.210,1433,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
CVE-2004-2761,High,172.16.1.64,1433,SSL Certificate Signed Using Weak Hashing Algorithm,"An SSL certificate in the certificate chain has been signed using a
weak hash algorithm.",Contact the Certificate Authority to have the SSL certificate reissued.,"https://tools.ietf.org/html/rfc3279
http://www.nessus.org/u?9bb87bf2
http://www.nessus.org/u?e120eea1
http://www.nessus.org/u?5d894816
http://www.nessus.org/u?51db68aa
http://www.nessus.org/u?9dc7bfba"
CVE-2016-2183,High,,1433,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
,Critical,,1433,Microsoft SQL Server Unsupported Version Detection (remote check),"An unsupported version of a database server is running on the remote
host.","Upgrade to a version of Microsoft SQL Server that is currently
supported.",http://www.nessus.org/u?d4418a57
,Critical,172.16.2.101,1521,Oracle Database Unsupported Version Detection,"The remote host is running an unsupported version of a database
server.",Upgrade to a version of Oracle Database that is currently supported.,http://www.nessus.org/u?ccd068d1
,Critical,172.16.2.11,5000,SSL Version 2 and 3 Protocol Detection,"The remote service encrypts traffic using a protocol with known
weaknesses.","Consult the application's documentation to disable SSL 2.0 and 3.0.
Use TLS 1.2 (with approved cipher suites) or higher instead.","https://www.schneier.com/academic/paperfiles/paper-ssl.pdf
http://www.nessus.org/u?b06c7e95
http://www.nessus.org/u?247c4540
https://www.openssl.org/~bodo/ssl-poodle.pdf
http://www.nessus.org/u?5d15ba70
https://www.imperialviolet.org/2014/10/14/poodle.html
https://tools.ietf.org/html/rfc7507
https://tools.ietf.org/html/rfc7568"
CVE-2016-2183,High,,5000,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
CVE-1999-0517,High,172.16.2.111,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-1999-0517,High,172.16.2.112,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-1999-0517,High,172.16.2.113,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-1999-0517,High,172.16.2.114,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-1999-0517,High,172.16.2.115,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-1999-0517,High,172.16.2.116,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-1999-0517,High,172.16.2.117,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-1999-0517,High,172.16.2.118,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-1999-0517,High,172.16.2.119,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
,Critical,172.16.2.13,5000,SSL Version 2 and 3 Protocol Detection,"The remote service encrypts traffic using a protocol with known
weaknesses.","Consult the application's documentation to disable SSL 2.0 and 3.0.
Use TLS 1.2 (with approved cipher suites) or higher instead.","https://www.schneier.com/academic/paperfiles/paper-ssl.pdf
http://www.nessus.org/u?b06c7e95
http://www.nessus.org/u?247c4540
https://www.openssl.org/~bodo/ssl-poodle.pdf
http://www.nessus.org/u?5d15ba70
https://www.imperialviolet.org/2014/10/14/poodle.html
https://tools.ietf.org/html/rfc7507
https://tools.ietf.org/html/rfc7568"
CVE-2016-2183,High,,5000,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
,Critical,172.16.2.15,5000,SSL Version 2 and 3 Protocol Detection,"The remote service encrypts traffic using a protocol with known
weaknesses.","Consult the application's documentation to disable SSL 2.0 and 3.0.
Use TLS 1.2 (with approved cipher suites) or higher instead.","https://www.schneier.com/academic/paperfiles/paper-ssl.pdf
http://www.nessus.org/u?b06c7e95
http://www.nessus.org/u?247c4540
https://www.openssl.org/~bodo/ssl-poodle.pdf
http://www.nessus.org/u?5d15ba70
https://www.imperialviolet.org/2014/10/14/poodle.html
https://tools.ietf.org/html/rfc7507
https://tools.ietf.org/html/rfc7568"
CVE-2016-2183,High,,5000,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
CVE-1999-0517,High,172.16.2.21,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-1999-0517,High,172.16.2.211,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
,Critical,,1521,Oracle Database Unsupported Version Detection,"The remote host is running an unsupported version of a database
server.",Upgrade to a version of Oracle Database that is currently supported.,http://www.nessus.org/u?ccd068d1
CVE-2012-1675,High,,1521,Oracle TNS Listener Remote Poisoning,It was possible to register with a remote Oracle TNS listener.,Apply the workaround in Oracle's advisory.,"http://www.nessus.org/u?8c8334e6
http://www.nessus.org/u?06d298e5
https://seclists.org/fulldisclosure/2012/Apr/204"
CVE-1999-0517,High,172.16.2.22,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
,Critical,172.16.2.227,1521,Oracle Database Unsupported Version Detection,"The remote host is running an unsupported version of a database
server.",Upgrade to a version of Oracle Database that is currently supported.,http://www.nessus.org/u?ccd068d1
CVE-1999-0517,High,172.16.2.229,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
,Critical,,1521,Oracle Database Unsupported Version Detection,"The remote host is running an unsupported version of a database
server.",Upgrade to a version of Oracle Database that is currently supported.,http://www.nessus.org/u?ccd068d1
CVE-2012-1675,High,,1521,Oracle TNS Listener Remote Poisoning,It was possible to register with a remote Oracle TNS listener.,Apply the workaround in Oracle's advisory.,"http://www.nessus.org/u?8c8334e6
http://www.nessus.org/u?06d298e5
https://seclists.org/fulldisclosure/2012/Apr/204"
CVE-1999-0517,High,172.16.2.23,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-2004-2761,High,172.16.2.230,5500,SSL Certificate Signed Using Weak Hashing Algorithm,"An SSL certificate in the certificate chain has been signed using a
weak hash algorithm.",Contact the Certificate Authority to have the SSL certificate reissued.,"https://tools.ietf.org/html/rfc3279
http://www.nessus.org/u?9bb87bf2
http://www.nessus.org/u?e120eea1
http://www.nessus.org/u?5d894816
http://www.nessus.org/u?51db68aa
http://www.nessus.org/u?9dc7bfba"
CVE-2016-2183,High,,5500,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info"
,Critical,,1521,Oracle Database Unsupported Version Detection,"The remote host is running an unsupported version of a database
server.",Upgrade to a version of Oracle Database that is currently supported.,http://www.nessus.org/u?ccd068d1
,Critical,172.16.2.231,1521,Oracle Database Unsupported Version Detection,"The remote host is running an unsupported version of a database
server.",Upgrade to a version of Oracle Database that is currently supported.,http://www.nessus.org/u?ccd068d1
CVE-2012-1675,High,,1521,Oracle TNS Listener Remote Poisoning,It was possible to register with a remote Oracle TNS listener.,Apply the workaround in Oracle's advisory.,"http://www.nessus.org/u?8c8334e6
http://www.nessus.org/u?06d298e5
https://seclists.org/fulldisclosure/2012/Apr/204"
CVE-1999-0517,High,172.16.2.233,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
CVE-1999-0517,High,172.16.2.235,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
,Critical,,1521,Oracle Database Unsupported Version Detection,"The remote host is running an unsupported version of a database
server.",Upgrade to a version of Oracle Database that is currently supported.,http://www.nessus.org/u?ccd068d1
CVE-2012-1675,High,,1521,Oracle TNS Listener Remote Poisoning,It was possible to register with a remote Oracle TNS listener.,Apply the workaround in Oracle's advisory.,"http://www.nessus.org/u?8c8334e6
http://www.nessus.org/u?06d298e5
https://seclists.org/fulldisclosure/2012/Apr/204"
CVE-1999-0517,High,172.16.2.236,161,SNMP Agent Default Community Name (public),The community name of the remote SNMP server can be guessed.,"Disable the SNMP service on the remote host if you do not use it.
Either filter incoming UDP packets going to this port, or change the 
default community string.",
,Critical,,1521,Oracle Database Unsupported Version Detection,"The remote host is running an unsupported version of a database
server.",Upgrade to a version of Oracle Database that is currently supported.,http://www.nessus.org/u?ccd068d1
